,SurveyYear,AreaDesc,SiteName,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,ValidHooks,TotalFish,TotalFishingTime.sec,Bank.Rockfish,Barred.Sand.Bass,Blue.Rockfish,Bocaccio,Brown.Rockfish,Brown.Smoothhound,Calico.Rockfish,California.Scorpionfish,California.Sheephead,California.Yellowtail,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Freckled.Rockfish,Gopher.Rockfish,Gray.Smoothhound,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,AreaDesc2,MPA.group,MPA.group2,MPA.group3,SiteType,MPA.type,CPUE.Fishpermin,CPUE.Fishper5min,CPUE.Fishpervalidhook,CPUE.Fishfor75hooks,Richness,MPA.when.sampled,BACI.ControlImpact,Mat.Verm,Imm.Verm,Mat.Boc,Imm.Boc,Imm.Gspot,Mat.Gspot,Target.sp,Nontarget.sp,Piscivore,Carnivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.DShannons,Nontarget.DShannons,Piscivore.DShannons,Carnivore.DShannons,Planktivore.DShannons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson,n,Biomass,Nontarget.bio,Target.bio,Carnivore.bio,Piscivore.bio,Planktivore.bio
11,2017,Anacapa Island,40,NA,NA,NA,88.4,90.50000057,93.1,72,27,4508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.359361136,5.4,0.375,28.125,4,0,Control,0,0,1,0,1,19,22,5,1,20,6,0.305555556,0.069444444,0.013888889,0.277777778,0.083333333,0.367649477,0,0,0,0.450561209,0.778731865,0.414266118,1.707259953,27,14.87,0.53,14.34,12.25,1.34,1.28
12,2018,Anacapa Island,40,NA,NA,NA,88.4,90.30303007,92.8,70,33,2991,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.661985958,6.6,0.471428571,35.35714286,6,0,Control,0,0,0,0,0,19,28,5,1,30,2,0.4,0.071428571,0.014285714,0.428571429,0.028571429,0.808447286,0.500402424,0,0.860851391,0.693147181,1.187102115,0.582185491,2.393406593,33,16.7,1.28,15.42,16,0,0.7
13,2019,Anacapa Island,40,NA,NA,NA,88.4,94.19333356,103.3,75,60,2560,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,16,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,1.40625,12,0.8,60,6,0,Control,0,0,0,0,0,30,42,18,0,33,27,0.56,0.24,0,0.44,0.36,0.906142825,0.348832096,0,0.304636097,1.098056091,1.349813908,0.663888889,2.975206612,60,35.04,3.02,32.02,25.72,0,9.32
14,2004,Anacapa Island,45,NA,NA,NA,52.8,54.79999946,56.8,75,34,1719,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,11,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,1.186736475,6.8,0.453333333,34,5,0,NA,0,4,8,6,0,0,33,0,14,16,3,0.44,0,0.186666667,0.213333333,0.04,1.309699533,0,0,0.777462132,0,1.309699533,0.68503214,3.174927114,34,25.96,0,25.96,11.94,12.16,1.86
15,2006,Anacapa Island,45,NA,NA,NA,52.5,53.71111128,54.6,74,18,3576,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.302013423,3.6,0.243243243,18.24324324,4,0,NA,3,0,7,3,0,0,18,0,10,4,4,0.243243243,0,0.135135135,0.054054054,0.054054054,1.119990356,0,0,0.562335145,0,1.119990356,0.611111111,2.571428571,18,13.34,0,13.34,4.06,7.32,1.96
16,2007,Anacapa Island,45,NA,NA,NA,51.6,54.28750014,56.7,75,16,2450,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.391836735,3.2,0.213333333,16,3,0,Control,2,0,9,4,0,0,16,0,13,2,1,0.213333333,0,0.173333333,0.026666667,0.013333333,0.601923972,0,0,0,0,0.601923972,0.3203125,1.471264368,16,15.82,0,15.82,2.54,12.64,0.64
17,2008,Anacapa Island,45,NA,NA,NA,51.1,52.37999954,56.3,75,10,3372,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.177935943,2,0.133333333,10,4,0,Control,0,0,7,0,0,0,9,1,7,1,2,0.12,0.013333333,0.093333333,0.013333333,0.026666667,0.683738906,0,0,0,0.693147181,0.940447989,0.48,1.923076923,10,6.04,0,6.04,0.54,5.14,0.36
18,2009,Anacapa Island,45,NA,NA,NA,56.3,57.10000038,57.9,70,2,4527,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.026507621,0.4,0.028571429,2.142857143,1,0,Control,0,0,2,0,0,0,2,0,2,0,0,0.028571429,0,0.028571429,0,0,0,0,0,0,0,0,0,1,2,1.2,0,1.2,0,1.2,0
19,2010,Anacapa Island,45,NA,NA,NA,53.5,55.45000076,57.4,75,2,4259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.028175628,0.4,0.026666667,2,2,0,Control,1,0,1,0,0,0,2,0,1,1,0,0.026666667,0,0.013333333,0.013333333,0,0.693147181,0,0,0,0,0.693147181,0.5,2,2,2,0,2,1.06,0.94,0
20,2011,Anacapa Island,45,NA,NA,NA,50.7,53.90000044,54.5,75,14,3228,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.260223048,2.8,0.186666667,14,3,0,Control,0,1,7,4,0,0,14,0,12,1,1,0.186666667,0,0.16,0.013333333,0.013333333,0.509137344,0,0,0,0,0.509137344,0.255102041,1.342465753,14,8.76,0,8.76,0.84,7.46,0.46
21,2012,Anacapa Island,45,19.5,19.6,19.7,51.5,52.59999956,54.8,69,7,4125,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.101818182,1.4,0.101449275,7.608695652,2,0,Control,0,0,3,3,0,1,7,0,6,1,0,0.101449275,0,0.086956522,0.014492754,0,0.410116318,0,0,0,0,0.410116318,0.244897959,1.324324324,7,4.48,0,4.48,0.36,4.12,0
22,2013,Anacapa Island,45,18.2,18.71428571,18.9,51.9,53.2142868,56.6,65,7,3475,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.120863309,1.4,0.107692308,8.076923077,4,0,Control,1,3,1,0,0,0,7,0,1,6,0,0.107692308,0,0.015384615,0.092307692,0,1.153741943,0,0,0.867563228,0,1.153741943,0.612244898,2.578947368,7,5.66,0,5.66,4.26,1.4,0
23,2014,Anacapa Island,45,19.9,19.9,19.9,51.2,55.1576924,56.8,74,26,3515,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.443812233,5.2,0.351351351,26.35135135,5,0,Control,3,2,15,2,0,0,26,0,17,7,2,0.351351351,0,0.22972973,0.094594595,0.027027027,1.042784585,0,0,0.79631164,0,1.042784585,0.526627219,2.1125,26,22.59,0,22.59,6.35,15.78,0.46
24,2015,Anacapa Island,45,21.1,21.1,21.1,51.6,52.52727231,54,75,11,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.199878861,2.2,0.146666667,11,3,0,Control,2,0,0,0,0,0,8,3,0,5,6,0.106666667,0.04,0,0.066666667,0.08,0.562335145,0,0,0.673011667,0,0.994923633,0.595041322,2.469387755,11,4.42,0.46,3.96,2.82,0,1.6
25,2016,Anacapa Island,45,NA,NA,NA,54.1,55.57499933,56.9,75,8,3539,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.135631534,1.6,0.106666667,8,2,0,Control,0,1,4,3,0,0,8,0,7,1,0,0.106666667,0,0.093333333,0.013333333,0,0.376770161,0,0,0,0,0.376770161,0.21875,1.28,8,4.96,0,4.96,0.8,4.16,0
26,2017,Anacapa Island,45,NA,NA,NA,49.4,53.95294145,55.7,74,17,3818,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.267155579,3.4,0.22972973,17.22972973,4,0,Control,5,3,7,0,0,0,17,0,8,9,0,0.22972973,0,0.108108108,0.121621622,0,1.053395498,0,0.376770161,0.348832096,0,1.053395498,0.602076125,2.513043478,17,15.69,0,15.69,8.33,7.36,0
27,2018,Anacapa Island,45,NA,NA,NA,49.9,51.62222177,54.2,75,27,2308,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,1,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.701906412,5.4,0.36,27,6,0,Control,0,1,4,9,0,0,27,0,13,3,11,0.36,0,0.173333333,0.04,0.146666667,1.277108821,0,0,1.098612289,0.474139313,1.277108821,0.647462277,2.836575875,27,12.78,0,12.78,1.6,7.36,3.82
28,2019,Anacapa Island,45,NA,NA,NA,51.7,54.1142867,55.9,75,7,4288,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.097947761,1.4,0.093333333,7,5,0,Control,0,1,0,1,0,0,7,0,1,2,4,0.093333333,0,0.013333333,0.026666667,0.053333333,1.475076311,0,0,0.693147181,0.562335145,1.475076311,0.734693878,3.769230769,7,2.42,0,2.42,1.08,0.22,1.12
29,2004,Anacapa Island,48,NA,NA,NA,71,72.28571429,73,72,21,2446,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.515126738,4.2,0.291666667,21.875,4,0,NA,3,0,12,0,1,0,21,0,17,4,0,0.291666667,0,0.236111111,0.055555556,0,1.084431665,0,0.605797499,0.562335145,0,1.084431665,0.594104308,2.463687151,21,45.94,0,45.94,5.38,40.56,0
30,2005,Anacapa Island,48,NA,NA,NA,69.7,70.66749916,71.6,75,40,2908,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.825309491,8,0.533333333,40,4,0,NA,18,0,20,0,0,0,40,0,21,19,0,0.533333333,0,0.28,0.253333333,0,0.890346026,0,0.191444082,0.206192051,0,0.890346026,0.54625,2.203856749,40,66.29,0,66.29,23.16,43.13,0
31,2006,Anacapa Island,48,NA,NA,NA,68.7,72.75454504,75.4,75,11,2176,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.303308824,2.2,0.146666667,11,4,0,NA,3,0,3,0,0,4,10,1,3,7,1,0.133333333,0.013333333,0.04,0.093333333,0.013333333,1.088899975,0,0,0.682908105,0,1.294545166,0.710743802,3.457142857,11,9.61,0.1,9.51,6.14,3.37,0.1
32,2007,Anacapa Island,48,NA,NA,NA,69.3,70.6,73.2,75,5,4372,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.068618481,1,0.066666667,5,1,1,Protected,0,0,5,0,0,0,5,0,5,0,0,0.066666667,0,0.066666667,0,0,0,0,0,0,0,0,0,1,5,7.28,0,7.28,0,7.28,0
33,2008,Anacapa Island,48,NA,NA,NA,68.8,69.00000191,69.6,75,4,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.077795786,0.8,0.053333333,4,2,1,Protected,0,0,0,0,0,1,4,0,0,4,0,0.053333333,0,0,0.053333333,0,0.562335145,0,0,0.562335145,0,0.562335145,0.375,1.6,4,2.32,0,2.32,2.32,0,0
34,2009,Anacapa Island,48,NA,NA,NA,70.6,71.51666641,73.9,70,12,4244,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.169651272,2.4,0.171428571,12.85714286,4,1,Protected,4,0,5,0,0,1,12,0,5,7,0,0.171428571,0,0.071428571,0.1,0,1.236684869,0,0,0.955699891,0,1.236684869,0.680555556,3.130434783,12,12.29,0,12.29,6.88,5.41,0
35,2010,Anacapa Island,48,NA,NA,NA,68.9,69.96000214,72.9,70,5,2766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.10845987,1,0.071428571,5.357142857,4,1,Protected,1,0,1,0,0,0,4,1,1,3,1,0.057142857,0.014285714,0.014285714,0.042857143,0.014285714,1.039720771,0,0,0.636514168,0,1.33217904,0.72,3.571428571,5,3.8,0.06,3.74,2.52,1.22,0.06
36,2011,Anacapa Island,48,NA,NA,NA,68.4,69.21904791,70.2,74,21,3883,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.324491373,4.2,0.283783784,21.28378378,6,1,Protected,2,0,14,1,0,1,21,0,16,5,0,0.283783784,0,0.216216216,0.067567568,0,1.044186848,0,0.233791659,1.33217904,0,1.044186848,0.471655329,1.892703863,21,31.12,0,31.12,6.58,24.54,0
37,2012,Anacapa Island,48,20.1,20.1,20.1,71.2,73.79999924,80,75,4,4480,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.053571429,0.8,0.053333333,4,3,1,Protected,0,0,2,0,0,0,4,0,3,1,0,0.053333333,0,0.04,0.013333333,0,1.039720771,0,0.636514168,0,0,1.039720771,0.625,2.666666667,4,5.08,0,5.08,0.45,4.63,0
38,2013,Anacapa Island,48,18.5,18.51111111,18.6,70,81.22222222,86,43,9,3815,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.141546527,1.8,0.209302326,15.69767442,4,1,Protected,0,0,5,0,0,2,9,0,6,3,0,0.209302326,0,0.139534884,0.069767442,0,1.149059697,0,0.450561209,0.636514168,0,1.149059697,0.617283951,2.612903226,9,12.62,0,12.62,2.66,9.96,0
39,2014,Anacapa Island,48,19.9,20.06153846,20.1,69,79,83,75,26,4100,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.380487805,5.2,0.346666667,26,7,1,Protected,1,0,11,1,0,6,25,1,13,12,1,0.333333333,0.013333333,0.173333333,0.16,0.013333333,1.374291263,0,0.271189373,1.126928795,0,1.484457536,0.704142012,3.38,26,24.48,0.26,24.22,7.66,16.24,0.58
40,2016,Anacapa Island,48,NA,NA,NA,70,70.37692202,70.6,45,13,2041,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Protected,Marine reserve,0.382165605,2.6,0.288888889,21.66666667,7,1,Protected,1,0,5,0,0,1,13,0,6,5,2,0.288888889,0,0.133333333,0.111111111,0.044444444,1.73265872,0,0.450561209,1.33217904,0,1.73265872,0.781065089,4.567567568,13,17.52,0,17.52,5.38,10.2,1.94
