SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,CDFGBlock,IncludeSiteSheet,IncludeDrop,IncludeDropDetail,IncludeHook,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,HookswithFish,ValidHook,Anemone unid,Bank Rockfish,Barred Sand Bass,Blackgill Rockfish,Blue Rockfish,Bocaccio,Bronzespotted Rockfish,Brown Rockfish,Brown Smoothhound,Calico Rockfish,California Market Squid,California Scorpionfish,California Sheephead,California Yellowtail,Canary Rockfish,Chilipepper,Copper Rockfish,Cowcod,Flag Rockfish,Freckled Rockfish,Giant plumose anemone,Gopher Rockfish,Gorgonian unident (coral),Gray Smoothhound,Greenblotched Rockfish,Greenspotted Rockfish,Greenstriped Rockfish,Halfbanded Rockfish,Honeycomb Rockfish,Humboldt Squid,Invert Unidentified,Lingcod,Lizardfish,Mexican Rockfish,Ocean Whitefish,Olive Rockfish,Pacific Bonito,Pacific Jack Mackerel,Pacific Mackerel,Pacific Sardine,Petrale Sole,Pink Rockfish,Pinkrose Rockfish,Rosethorn Rockfish,Rosy Rockfish,Sanddab Unidentified,Sharpchin Rockfish,Shortbelly Rockfish,Silvergray Rockfish,Southern Rock Sole,Speckled Rockfish,Spiny Dogfish,Spiny Sea Star,Squarespot Rockfish,Starry Rockfish,Stripetail Rockfish,Swordspine Rockfish,Treefish,Unknown Fish,Vermilion Rockfish,White Croaker,Whitespeckled Rockfish,Widow Rockfish,Yelloweye Rockfish,Yellowtail Rockfish
2004, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,69,72.91666667,80,24,24,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,,
2008, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,64.5,66.59722201,69.2,36,36,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,27,,,,,,,,
2009, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,64.7,67.78333155,69.9,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,,,,,,,,
2010, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,64.8,67.18285849,72.5,35,35,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,31,,,,,,,,
2011, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,63.8,65.21190416,67.1,42,42,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,32,,1,,,,,,
2012, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,21.3,21.37894737,21.4,64.5,68.35263262,71,19,19,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,12,,,,,,,,
2013, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,20.4,20.4,20.4,71,74.72045413,78.5,44,44,,,,,,1,,,,,,,,,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,3,,26,,,,,,,,
2014, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,22.8,22.8,22.8,67.2,71.29999944,73.4,38,38,,1,,,,,,,,,,,,,,4,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,3,,17,,,,,,,,
2015, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,22.3,22.37428571,22.4,64,66.30000044,74.6,35,35,,,,,,14,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,5,,9,,,,,,,,
2016, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,65.9,66.99565075,67.7,46,46,,,,,,1,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,35,,,,,,,,
2017, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,68.4,72.41833382,76.3,60,60,,,,,,,,,,,,,,,,11,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,33,,,,,,,,
2018, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,65.7,69.67586228,75.5,58,58,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,5,,41,,,,,,,,
2019, Fourteen Mile Bank,5,33 23.659,117 59.871,13.1,13.10,13.10,758,TRUE,TRUE,TRUE,TRUE,,,,68.6,69.03720944,69.9,43,43,,1,,,,,,,,,,,,,,6,,,1,,,,,,,,5,,,,,,,1,,,,,,,,,,1,,,,,,,2,,,1,6,,19,,,,,,,,
2004, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,93,95,96,20,20,,1,,,,10,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2006, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,96.3,96.61538755,100.4,13,13,,,,,,4,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,96.4,98.55000114,102.4,12,12,,,,,,6,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,95.3,97.44374847,101.5,16,16,,,,,,10,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2010, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,92.8,94.41428593,99.3,7,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,
2011, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,92.9,93.69090941,93.9,33,33,,8,,,,16,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,
2012, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,21.2,21.29444444,21.3,94.8,95.32222366,96.3,18,18,,1,,,,7,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2013, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,21.8,22.00333333,22.1,93,94.56666667,101,30,30,,7,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2014, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,22.5,22.5483871,22.6,94.8,96.58387215,99.5,31,31,,15,,,,6,,,,,,,,,,6,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2015, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,22.3,22.37142857,22.4,93.8,95.28163272,97.7,49,49,,,,,,27,,,,,,,,,,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
2016, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,92.9,94.03749967,97.7,32,32,,5,,,,10,2,,,,,,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
2017, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,95.4,97.64642852,98.5,28,28,,15,,,,4,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,
2018, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,92.5,96.07143021,98.9,14,14,,6,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,
2019, Fourteen Mile Bank,6,33 24.314,117 59.560,12.5,12.50,12.50,758,TRUE,TRUE,TRUE,TRUE,,,,93.2,93.89999826,95.7,14,14,,2,,,,1,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
2005, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,59,60,62,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,
2006, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58.1,62.00000076,66.8,10,10,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,
2007, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58,59.45000013,61,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,2,,,,,
2008, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,57.4,60.97999878,64.2,10,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,4,,,,,,,,
2009, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58.2,58.20000076,58.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2010, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,57.5,60.35000038,62.1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
2011, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,62.8,63.60000038,64.4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
2012, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,21.4,21.49166667,21.6,56.2,58.99166648,63.1,12,12,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2013, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,20.8,20.88,21,61.1,63.21999969,65.4,5,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,
2014, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,23.1,23.1,23.1,58.1,61.22941118,65.1,17,17,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2015, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,23.6,23.6,23.6,57.3,62.07142884,63.4,14,14,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
2016, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58.5,60.73333359,62.5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,1,,,,,
2017, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58.3,61.62647113,65.9,34,34,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,3,,,2,,,,,,,,
2018, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,58.5,60.16031762,61,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,47,,,6,,,,,,,,
2019, Fourteen Mile Bank,11,33 24.145,118 00.293,12.8,12.80,12.80,759,TRUE,TRUE,TRUE,TRUE,,,,67.6,67.59999847,67.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,65,66.24999873,68.2,6,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,3,,,,,
2006, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,66.1,66.82857023,68.8,14,14,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
2007, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,66.2,67.19999886,68,8,8,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,
2008, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,65.4,66.78124952,68.5,16,16,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,3,,,,,,,,
2009, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,65.8,65.80000305,65.8,3,3,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2010, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,64.7,66.86666616,68.6,9,9,,,,,,1,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,
2011, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,66,67.54999924,70.2,4,4,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2012, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,21.3,21.3,21.3,64.1,65.76666684,67.3,9,9,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,
2013, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,21.7,21.91935484,22.2,63,64.06451613,65,31,31,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,24,,,,,,,,
2014, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,23.1,23.1,23.1,63.4,65.17857143,65.6,14,14,,,,,,9,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,23.5,23.5,23.5,65.7,68.03636216,70,33,33,,,,,,18,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,4,,1,,,,,,,,
2016, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,66.4,68.75384551,70.6,26,26,,,,,,13,,,,,,,,,,,,,1,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,3,,,2,,,,,
2017, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,65.9,68.11874978,69.6,48,48,,3,,,,5,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,2,4,,4,,,6,,,,,
2018, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,65.9,66.54705826,67.1,51,51,,1,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,24,,,9,3,,7,,,2,,,,,
2019, Fourteen Mile Bank,15,33 23.835,118 00.134,13.1,13.10,13.10,759,TRUE,TRUE,TRUE,TRUE,,,,64.3,66.61935499,69.3,31,31,,,,,,3,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,4,,8,,,1,,,,,
2004, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,55,55.81481481,58,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,7,,,2,,,,,,,,,,,
2005, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,54.7,55.24000015,55.5,5,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,
2007, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,54,54.61428615,55.5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,
2008, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,54.8,55.66923024,57.6,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,14,,,,,,,,
2009, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,55,56.25,57,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,,,,,,,,
2010, Fourteen Mile Bank,16,33 23.840,117 59.864,13.,13.00,13.00,758,TRUE,TRUE,TRUE,TRUE,,,,54.9,55.35000022,56.1,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,21,,,,,,,,
