SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,AvgOfAvgSST,AvgOfVesselDepth,Bank.Rockfish,Blue.Rockfish,Bocaccio,California.Scorpionfish,California.Sheephead,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Gopher.Rockfish,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Spiny.Dogfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Unknown.Fish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,HooksWithFish,ValidHooks,CPUE_perValidHook,CPUE_fishpersite,Target,Nontarget,Carnivore,Piscivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.Dsimpsons,Nontarget.Dsimpsons,Piscivore.Dsimpsons,Carnivore.Dsimpsons,Planktivore.Dsimpsons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson
2017,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,90.50000057,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,27,72,0.375,28.125,22,5,20,1,6,0.305555556,0.069444444,0.013888889,0.277777778,0.083333333,0.169421488,0,0,0,0.277777778,0.778731865,0.414266118,1.707259953
2018,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,90.30303007,1,0,1,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,33,70,0.471428571,35.35714286,28,5,30,1,2,0.4,0.071428571,0.014285714,0.428571429,0.028571429,0.441326531,0.32,0,0.497777778,0.5,1.187102115,0.582185491,2.393406593
2019,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,94.19333356,5,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,16,0,0,0,0,0,0,60,75,0.8,60,42,18,33,0,27,0.56,0.24,0,0.44,0.36,0.461451247,0.197530864,1,0.165289256,0.587105624,1.349813908,0.663888889,2.975206612
2004,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,94.375,0,0,0,0,0,0,5,0,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,75,0.533333333,40,40,0,33,7,0,0.533333333,0,0.093333333,0.44,0,0.37875,1,0.408163265,0.113865932,1,0.757044914,0.37875,1.609657948
2005,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,91.25384639,0,0,0,0,0,0,1,0,1,1,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,26,64,0.40625,30.46875,24,2,22,3,1,0.375,0.03125,0.046875,0.34375,0.015625,0.475694444,0.5,0.666666667,0.380165289,0,1.278847934,0.550295858,2.223684211
2006,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,93.53333333,4,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,30,75,0.4,30,30,0,22,1,7,0.4,0,0.013333333,0.293333333,0.093333333,0.524444444,1,0,0.169421488,0.489795918,1.109342056,0.524444444,2.102803738
2007,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,90.18142864,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,14,70,0.2,15,13,1,11,3,0,0.185714286,0.014285714,0.042857143,0.157142857,0,0.568047337,0,0.444444444,0.429752066,1,1.252762968,0.62244898,2.648648649
2008,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,90.84000015,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,74,0.135135135,10.13513514,10,0,9,1,0,0.135135135,0,0.013513514,0.121621622,0,0.58,1,0,0.49382716,1,1.088899975,0.58,2.380952381
2009,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,92.06000112,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,70,0.214285714,16.07142857,15,0,7,3,5,0.214285714,0,0.042857143,0.1,0.071428571,0.631111111,1,0,0,0,1.043757036,0.631111111,2.710843373
2010,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,92.42857252,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,75,0.093333333,7,6,0,5,0,1,0.08,0,0,0.066666667,0.013333333,0.666666667,1,1,0.56,0,1.475076311,0.734693878,3.769230769
2011,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,89.26363442,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,75,0.146666667,11,11,0,11,0,0,0.146666667,0,0,0.146666667,0,0.165289256,1,1,0.165289256,1,0.304636097,0.165289256,1.198019802
2012,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,19,92.34666494,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,15,73,0.205479452,15.4109589,12,3,12,0,3,0.164383562,0.04109589,0,0.164383562,0.04109589,0.402777778,0.444444444,1,0.402777778,0.444444444,1.204876207,0.595555556,2.472527473
2013,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,18.36,90.84499969,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,1,0,0,0,20,75,0.266666667,20,16,4,12,2,6,0.213333333,0.053333333,0.026666667,0.16,0.08,0.6796875,0,0,0.486111111,0.444444444,1.583275505,0.755,4.081632653
2014,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,19.6,92.45000102,1,0,1,0,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,30,73,0.410958904,30.82191781,27,3,25,2,3,0.369863014,0.04109589,0.02739726,0.342465753,0.04109589,0.436213992,0.444444444,0.5,0.3456,0.444444444,1.265413097,0.537777778,2.163461538
2015,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,21.3,88.81363487,1,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,44,75,0.586666667,44,44,0,41,1,2,0.586666667,0,0.013333333,0.546666667,0.026666667,0.466942149,1,0,0.387864366,0.5,0.955202588,0.466942149,1.875968992
2016,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,89.77777863,10,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,5,3,0,0,0,0,1,0,45,75,0.6,45,42,3,10,2,33,0.56,0.04,0.026666667,0.133333333,0.44,0.70861678,0,0.5,0.5,0.567493113,1.620875656,0.741728395,3.871892925
2017,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,93.60810811,2,0,1,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,37,67,0.552238806,41.41791045,37,0,29,4,4,0.552238806,0,0.059701493,0.432835821,0.059701493,0.574141709,1,0.375,0.328180737,0.5,1.207259822,0.574141709,2.348198971
2018,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,89.41600037,1,0,1,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,1,1,0,0,25,72,0.347222222,26.04166667,25,0,11,8,6,0.347222222,0,0.111111111,0.152777778,0.083333333,0.816,1,0.21875,0.611570248,0.5,1.890358138,0.816,5.434782609
2019,Anacapa Island,43,34 02.226,119 17.935,7.8,3.2,7.7,NA,91.12999939,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,7,8,0,0,1,0,0,0,50,75,0.666666667,50,42,8,31,0,19,0.56,0.106666667,0,0.413333333,0.253333333,0.624716553,0,1,0.397502601,0.592797784,1.469057175,0.7096,3.443526171
2004,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,54.79999946,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,4,11,0,0,34,75,0.453333333,34,33,0,16,14,3,0.44,0,0.186666667,0.213333333,0.04,0.68503214,1,0,0.4609375,0,1.40387038,0.702422145,3.360465116
2006,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,53.71111128,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,18,74,0.243243243,18.24324324,18,0,4,10,4,0.243243243,0,0.135135135,0.054054054,0.054054054,0.611111111,1,0,0.375,0,1.119990356,0.611111111,2.571428571
2007,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,54.28750014,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,16,75,0.213333333,16,16,0,2,13,1,0.213333333,0,0.173333333,0.026666667,0.013333333,0.3203125,1,0,0,0,0.601923972,0.3203125,1.471264368
2008,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,52.37999954,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,75,0.133333333,10,9,1,1,7,2,0.12,0.013333333,0.093333333,0.013333333,0.026666667,0.37037037,0,0,0,0.5,0.940447989,0.48,1.923076923
2009,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,57.10000038,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0.028571429,2.142857143,2,0,0,2,0,0.028571429,0,0.028571429,0,0,0,1,0,1,1,0,0,1
2010,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,55.45000076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,75,0.026666667,2,2,0,1,1,0,0.026666667,0,0.013333333,0.013333333,0,0.5,1,0,0,1,0.693147181,0.5,2
2011,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,53.90000044,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,75,0.186666667,14,14,0,1,12,1,0.186666667,0,0.16,0.013333333,0.013333333,0.255102041,1,0,0,0,0.509137344,0.255102041,1.342465753
2012,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,19.6,52.59999956,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,0.101449275,7.608695652,7,0,1,6,0,0.101449275,0,0.086956522,0.014492754,0,0.244897959,1,0,0,1,0.410116318,0.244897959,1.324324324
2013,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,18.71428571,53.2142868,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,7,65,0.107692308,8.076923077,7,0,6,1,0,0.107692308,0,0.015384615,0.092307692,0,0.612244898,1,0,0.5,1,1.153741943,0.612244898,2.578947368
2014,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,19.9,55.1576924,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,26,74,0.351351351,26.35135135,26,0,7,17,2,0.351351351,0,0.22972973,0.094594595,0.027027027,0.526627219,1,0,0.448979592,0,1.042784585,0.526627219,2.1125
2015,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,21.1,52.52727231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,2,0,0,0,11,75,0.146666667,11,8,3,5,0,6,0.106666667,0.04,0,0.066666667,0.08,0.375,0,1,0.48,0,0.994923633,0.595041322,2.469387755
2016,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,55.57499933,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,75,0.106666667,8,8,0,1,7,0,0.106666667,0,0.093333333,0.013333333,0,0.21875,1,0,0,1,0.376770161,0.21875,1.28
2017,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,53.95294145,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,17,74,0.22972973,17.22972973,17,0,9,8,0,0.22972973,0,0.108108108,0.121621622,0,0.602076125,1,0.21875,0.197530864,1,1.053395498,0.602076125,2.513043478
2018,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,51.62222177,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,1,1,0,0,27,75,0.36,27,27,0,3,13,11,0.36,0,0.173333333,0.04,0.146666667,0.647462277,1,0,0.666666667,0.297520661,1.277108821,0.647462277,2.836575875
2019,Anacapa Island,45,34 01.497,119 19.014,8.9,2.2,8.8,NA,54.1142867,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,7,75,0.093333333,7,7,0,2,1,4,0.093333333,0,0.013333333,0.026666667,0.053333333,0.734693878,1,0,0.5,0.375,1.475076311,0.734693878,3.769230769
2004,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,72.28571429,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,72,0.291666667,21.875,21,0,4,17,0,0.291666667,0,0.236111111,0.055555556,0,0.594104308,1,0.415224913,0.375,1,1.084431665,0.594104308,2.463687151
2005,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,70.66749916,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,40,75,0.533333333,40,40,0,19,21,0,0.533333333,0,0.28,0.253333333,0,0.54625,1,0.090702948,0.099722992,1,0.890346026,0.54625,2.203856749
2006,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,72.75454504,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,11,75,0.146666667,11,10,1,7,3,1,0.133333333,0.013333333,0.04,0.093333333,0.013333333,0.66,0,0,0.489795918,0,1.294545166,0.710743802,3.457142857
2007,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,70.6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0.066666667,5,5,0,0,5,0,0.066666667,0,0.066666667,0,0,0,1,0,1,1,0,0,1
2008,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,69.00000191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,75,0.053333333,4,4,0,4,0,0,0.053333333,0,0,0.053333333,0,0.375,1,1,0.375,1,0.562335145,0.375,1.6
2009,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,71.51666641,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,12,70,0.171428571,12.85714286,12,0,7,5,0,0.171428571,0,0.071428571,0.1,0,0.680555556,1,0,0.571428571,1,1.236684869,0.680555556,3.130434783
2010,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,69.96000214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,5,70,0.071428571,5.357142857,4,1,3,1,1,0.057142857,0.014285714,0.014285714,0.042857143,0.014285714,0.625,0,0,0.444444444,0,1.33217904,0.72,3.571428571
2011,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,69.21904791,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,21,74,0.283783784,21.28378378,21,0,5,16,0,0.283783784,0,0.216216216,0.067567568,0,0.471655329,1,0.1171875,0.72,1,1.044186848,0.471655329,1.892703863
2012,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,20.1,73.79999924,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,75,0.053333333,4,4,0,1,3,0,0.053333333,0,0.04,0.013333333,0,0.625,1,0.444444444,0,1,1.039720771,0.625,2.666666667
2013,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,18.51111111,81.22222222,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,43,0.209302326,15.69767442,9,0,3,6,0,0.209302326,0,0.139534884,0.069767442,0,0.617283951,1,0.277777778,0.444444444,1,1.149059697,0.617283951,2.612903226
2014,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,20.06153846,79,0,0,12,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,26,75,0.346666667,26,25,1,12,13,1,0.333333333,0.013333333,0.173333333,0.16,0.013333333,0.6816,0,0.142011834,0.625,0,1.484457536,0.704142012,3.38
2016,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,70.37692202,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,13,45,0.288888889,21.66666667,13,0,5,6,2,0.288888889,0,0.133333333,0.111111111,0.044444444,0.781065089,1,0.277777778,0.72,0,1.73265872,0.781065089,4.567567568
2017,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,71.06666734,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,3,0,0,0,18,68,0.264705882,19.85294118,17,1,12,4,2,0.25,0.014705882,0.058823529,0.176470588,0.029411765,0.788927336,0,0.375,0.652777778,0.5,1.769036161,0.808641975,5.225806452
2018,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,71.91612711,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,0,0,1,0,0,31,70,0.442857143,33.21428571,31,0,7,5,19,0.442857143,0,0.071428571,0.1,0.271428571,0.570239334,1,0,0.448979592,0,1.110157536,0.570239334,2.326876513
2019,Anacapa Island,48,33 57.667,119 28.964,17.8,3.7,17.2,NA,71.24347985,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,7,0,0,0,23,65,0.353846154,26.53846154,23,0,10,7,6,0.353846154,0,0.107692308,0.153846154,0.092307692,0.775047259,1,0.408163265,0.46,0,1.605420036,0.775047259,4.445378151
2004,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,38.26666689,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24,69,0.347826087,26.08695652,23,1,2,19,3,0.333333333,0.014492754,0.275362319,0.028985507,0.043478261,0.623818526,0,0.476454294,0.5,0,1.3625684,0.652777778,2.88
2005,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,37.61363636,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,1,44,67,0.656716418,49.25373134,42,2,12,13,19,0.626865672,0.029850746,0.194029851,0.179104478,0.28358209,0.700680272,0,0.49704142,0.402777778,0,1.477880906,0.725206612,3.639097744
